"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Aaron Judge","NYY","157","696","62","133","131","16","15.9%","25.1%",".375",".340",".311",".425",".686",".458",".463","207","2.1","86.1","0.5","11.4","15640"
"Manny Machado","SDP","150","644","32","100","102","9","9.8%","20.7%",".234",".337",".298",".366",".531",".382",".338","152","3.0","41.9","6.9","7.4","11493"
"Nolan Arenado","STL","148","620","30","73","103","5","8.4%","11.6%",".241",".290",".293",".358",".533",".381",".339","151","-1.6","35.3","13.5","7.3","9777"
"Paul Goldschmidt","STL","151","651","35","106","115","7","12.1%","21.7%",".260",".368",".317",".404",".578",".419",".367","177","3.0","61.6","-15.8","7.1","9218"
"Freddie Freeman","LAD","159","708","21","117","100","13","11.9%","14.4%",".186",".359",".325",".407",".511",".393",".403","157","5.4","52.6","-8.8","7.1","5361"
"Francisco Lindor","NYM","161","706","26","98","107","16","8.4%","18.8%",".179",".301",".270",".339",".449",".342",".331","127","3.3","25.4","15.9","6.8","12916"
"Yordan Alvarez","HOU","135","561","37","95","97","1","13.9%","18.9%",".306",".320",".306",".406",".613",".427",".462","185","-0.6","52.8","-7.5","6.6","19556"
"Mookie Betts","LAD","142","639","35","117","82","12","8.6%","16.3%",".264",".272",".269",".340",".533",".373",".344","144","4.3","37.2","4.1","6.6","13611"
"Jose Altuve","HOU","141","604","28","103","57","18","10.9%","14.4%",".233",".315",".300",".387",".533",".397",".354","164","-1.5","41.8","1.6","6.6","5417"
"J.T. Realmuto","PHI","139","562","22","75","84","21","7.3%","21.2%",".202",".318",".276",".342",".478",".354",".351","128","6.6","24.9","18.0","6.5","11739"
"Dansby Swanson","ATL","162","696","25","99","96","18","7.0%","26.1%",".170",".348",".277",".329",".447",".337",".337","116","3.1","15.7","21.4","6.4","18314"
"Trea Turner","LAD","160","708","21","101","100","27","6.4%","18.5%",".169",".342",".298",".343",".466",".350",".335","128","6.5","29.5","7.1","6.3","16252"
"Jose Ramirez","CLE","157","685","29","90","126","20","10.1%","12.0%",".235",".279",".280",".355",".514",".363",".320","139","6.0","36.0","1.0","6.2","13510"
"Andres Gimenez","CLE","146","557","17","66","69","20","6.1%","20.1%",".169",".353",".297",".371",".466",".364",".326","140","3.4","28.3","12.0","6.1","19950"
"Xander Bogaerts","BOS","150","631","15","84","73","8","9.0%","18.7%",".149",".362",".307",".377",".456",".363",".323","134","4.7","28.6","9.0","6.1","12161"
"Jeff McNeil","NYM","148","589","9","73","62","4","6.8%","10.4%",".128",".353",".326",".382",".454",".365",".323","143","2.0","31.3","4.6","5.9","15362"
"Tommy Edman","STL","153","630","13","95","57","32","7.3%","17.6%",".135",".308",".265",".324",".400",".318",".308","108","8.4","14.2","18.4","5.6","19470"
"Austin Riley","ATL","159","693","38","90","93","2","8.2%","24.2%",".255",".315",".273",".349",".528",".377",".378","142","-1.7","32.5","-3.1","5.5","18360"
"Alex Bregman","HOU","155","656","23","93","93","1","13.3%","11.7%",".195",".260",".259",".366",".454",".358",".350","136","-3.0","23.6","7.7","5.5","17678"
"Brandon Nimmo","NYM","151","673","16","102","64","3","10.5%","17.2%",".159",".317",".274",".367",".433",".353",".342","134","-0.3","26.6","1.9","5.4","12927"
"Julio Rodriguez","SEA","132","560","28","84","75","25","7.1%","25.9%",".225",".345",".284",".345",".509",".366",".337","146","4.3","33.4","-0.5","5.3","23697"
"Sean Murphy","OAK","148","612","18","67","66","1","9.2%","20.3%",".177",".290",".250",".332",".426",".331",".344","122","-1.4","13.8","15.0","5.1","19352"
"Rafael Devers","BOS","141","614","27","84","88","3","8.1%","18.6%",".225",".329",".295",".358",".521",".373",".361","140","-1.2","26.8","0.1","4.9","17350"
"Kyle Tucker","HOU","150","609","30","71","107","25","9.7%","15.6%",".221",".261",".257",".330",".478",".348",".353","129","4.0","23.9","1.6","4.7","18345"
"Willy Adames","MIL","139","617","31","83","98","8","7.9%","26.9%",".220",".278",".238",".298",".458",".325",".323","109","2.4","8.8","14.8","4.7","15986"
"Daulton Varsho","ARI","151","592","27","79","74","16","7.8%","24.5%",".207",".269",".235",".302",".443",".323",".298","106","3.4","7.7","16.4","4.6","19918"
"Corey Seager","TEX","151","663","33","91","83","3","8.7%","15.5%",".211",".242",".245",".317",".455",".331",".372","117","2.6","15.1","6.7","4.5","13624"
"Bo Bichette","TOR","159","697","24","91","93","13","5.9%","22.2%",".179",".347",".290",".333",".469",".347",".334","129","-2.7","20.0","0.2","4.5","19612"
"Steven Kwan","CLE","147","638","6","89","52","19","9.7%","9.4%",".101",".323",".298",".373",".400",".341",".312","124","4.9","22.0","-0.7","4.4","24610"
"Carlos Correa","MIN","136","590","22","70","64","0","10.3%","20.5%",".176",".339",".291",".366",".467",".362",".363","140","-6.0","20.7","2.0","4.4","14162"
"George Springer","TOR","133","583","25","89","76","14","9.3%","17.2%",".205",".285",".267",".342",".472",".352",".342","132","4.6","25.7","-4.1","4.2","12856"
"Marcus Semien","TEX","161","724","26","101","83","25","7.3%","16.6%",".181",".263",".248",".304",".429",".317",".306","107","7.0","12.5","4.1","4.2","12533"
"Matt Chapman","TOR","155","621","27","83","76","2","11.0%","27.4%",".204",".277",".229",".324",".433",".331",".341","117","3.1","15.0","4.6","4.1","16505"
"Jake Cronenworth","SDP","158","684","17","88","88","3","10.2%","19.2%",".152",".275",".239",".332",".390",".318",".303","109","6.8","13.7","2.3","4.1","18036"
"Eugenio Suarez","SEA","150","629","31","76","87","0","11.6%","31.2%",".223",".302",".236",".332",".459",".344",".339","131","-2.5","19.2","-0.3","4.1","12552"
"Christian Walker","ARI","160","667","36","84","94","2","10.3%","19.6%",".235",".248",".242",".327",".477",".346",".359","122","-0.3","16.9","-0.4","4.1","13419"
"Nico Hoerner","CHC","135","517","10","60","55","20","5.4%","11.0%",".129",".300",".281",".327",".410",".320",".301","106","2.3","6.0","14.3","4.0","21479"
"Pete Alonso","NYM","160","685","40","95","131","5","9.8%","18.7%",".246",".279",".271",".352",".518",".366",".354","143","-2.5","32.0","-17.4","4.0","19251"
"Will Smith","LAD","137","578","24","68","87","1","9.7%","16.6%",".205",".276",".260",".343",".465",".349",".352","127","-3.6","14.8","3.0","3.9","19197"
"Jose Abreu","CHW","157","679","15","85","75","0","9.1%","16.2%",".141",".350",".304",".378",".446",".361",".373","137","-1.7","26.9","-11.7","3.9","15676"
"Taylor Ward","LAA","135","564","23","73","65","5","10.6%","21.3%",".192",".325",".281",".360",".473",".362",".361","137","0.7","23.9","-5.2","3.8","17548"
"Shohei Ohtani","LAA","157","666","34","90","95","11","10.8%","24.2%",".246",".320",".273",".356",".519",".370",".385","142","0.3","31.8","-16.4","3.8","19755"
"Juan Soto","- - -","153","664","27","93","62","6","20.3%","14.5%",".210",".249",".242",".401",".452",".376",".401","145","-2.4","32.0","-17.7","3.8","20123"
"Alejandro Kirk","TOR","139","541","14","59","63","0","11.6%","10.7%",".130",".299",".285",".372",".415",".347",".351","129","-7.1","10.4","8.8","3.8","22581"
"Adolis Garcia","TEX","156","657","27","88","101","25","6.1%","27.9%",".207",".309",".250",".300",".456",".324",".322","112","6.0","14.8","0.5","3.8","19287"
"Yandy Diaz","TBR","137","558","9","71","57","3","14.0%","10.8%",".127",".323",".296",".401",".423",".366",".365","146","-5.3","23.8","-5.7","3.8","16578"
"Ha-seong Kim","SDP","150","582","11","58","59","12","8.8%","17.2%",".132",".290",".251",".325",".383",".313",".309","105","1.9","5.4","10.0","3.7","27506"
"Elvis Andrus","- - -","149","577","17","66","58","18","6.8%","15.9%",".155",".272",".249",".303",".404",".310",".293","105","6.0","9.3","6.1","3.5","8709"
"Ian Happ","CHC","158","641","17","72","72","9","9.0%","23.2%",".169",".336",".271",".342",".440",".339",".306","120","0.7","15.2","-3.6","3.5","17919"
"Jeremy Pena","HOU","136","558","22","72","63","11","3.9%","24.2%",".173",".298",".253",".289",".426",".309",".300","102","3.7","4.8","10.0","3.4","21636"
"Cedric Mullins II","BAL","156","672","16","89","64","34","7.0%","18.8%",".145",".299",".258",".318",".403",".315",".288","106","3.3","7.6","3.0","3.4","17929"
"Luis Arraez","MIN","144","603","8","88","49","4","8.3%","7.1%",".104",".331",".316",".375",".420",".350",".333","131","-0.2","20.9","-10.1","3.2","18568"
"Matt Olson","ATL","162","699","34","86","103","0","10.7%","24.3%",".237",".274",".240",".325",".477",".344",".347","120","-0.8","15.4","-9.4","3.1","14344"
"Ryan McMahon","COL","153","597","20","67","67","7","10.1%","26.5%",".168",".311",".246",".327",".414",".326",".330","95","2.1","-1.3","10.4","3.1","15112"
"Ke'Bryan Hayes","PIT","136","560","7","55","41","20","8.6%","21.8%",".101",".307",".244",".314",".345",".294",".303","88","0.9","-6.8","16.7","3.0","18577"
"Nathaniel Lowe","TEX","157","645","27","74","76","2","7.4%","22.8%",".191",".363",".302",".358",".492",".368",".344","143","-3.9","27.2","-19.1","3.0","19566"
"Starling Marte","NYM","118","505","16","76","63","18","5.1%","19.2%",".176",".340",".292",".347",".468",".355",".336","136","-0.2","20.8","-9.6","3.0","9241"
"Brandon Drury","- - -","138","568","28","87","87","2","6.7%","22.2%",".230",".293",".263",".320",".492",".350",".316","123","-3.6","11.4","-2.4","3.0","11615"
"DJ LeMahieu","NYY","125","541","12","74","46","4","12.4%","13.1%",".116",".285",".261",".357",".377",".329",".344","116","-4.0","6.0","4.9","3.0","9874"
"Bryan Reynolds","PIT","145","614","27","74","62","7","9.1%","23.0%",".199",".306",".262",".345",".461",".349",".329","125","-2.1","16.0","-9.3","2.9","19326"
"Andrew Benintendi","- - -","126","521","5","54","51","8","10.0%","14.8%",".095",".352",".304",".373",".399",".342",".334","122","0.6","13.5","-3.5","2.8","17901"
"Mark Canha","NYM","140","542","13","71","61","3","8.9%","17.9%",".136",".309",".266",".367",".403",".343",".323","128","-1.0","16.7","-8.3","2.8","11445"
"Vladimir Guerrero Jr.","TOR","160","706","32","90","97","8","8.2%","16.4%",".205",".289",".274",".339",".480",".351",".348","132","-6.0","19.2","-15.1","2.8","19611"
"Jorge Mateo","BAL","150","533","13","63","50","35","5.1%","27.6%",".158",".286",".221",".267",".379",".281",".272","82","5.8","-5.2","14.5","2.8","17273"
"Randy Arozarena","TBR","153","645","20","72","89","32","7.1%","24.2%",".183",".325",".263",".327",".445",".336",".301","125","-4.3","13.8","-8.3","2.7","19290"
"Gleyber Torres","NYY","140","572","24","73","76","10","6.8%","22.6%",".194",".295",".257",".310",".451",".328",".319","115","-0.2","9.8","-2.0","2.7","16997"
"Thairo Estrada","SFG","140","541","14","71","62","21","6.1%","16.5%",".139",".290",".260",".322",".400",".317",".299","106","2.4","6.2","1.5","2.7","16426"
"Josh Rojas","ARI","125","510","9","66","56","23","10.8%","19.2%",".122",".323",".269",".349",".391",".326",".308","108","6.2","11.2","-2.9","2.7","19734"
